"isin","coupon_serie_code","in_catalog"
"TRT070329A16","TP.TRT070329A16.ORAN","False"
"TRT070329K14","TP.TRT070329K14.ORAN","False"
"TRT070329T15","TP.TRT070329T15.ORAN","False"
"TRT070329T23","TP.TRT070329T23.ORAN","True"
"TRT170129K22","TP.TRT170129K22.ORAN","False"
"TRT100129K11","TP.TRT100129K11.ORAN","False"
"TRT030129K10","TP.TRT030129K10.ORAN","False"
"TRT131228K24","TP.TRT131228K24.ORAN","False"
"TRT061228K15","TP.TRT061228K15.ORAN","False"
"TRT061228A17","TP.TRT061228A17.ORAN","False"
"TRT061228K23","TP.TRT061228K23.ORAN","False"
"TRT061228T16","TP.TRT061228T16.ORAN","True"
"TRT061228T24","TP.TRT061228T24.ORAN","False"
"TRT061228K31","TP.TRT061228K31.ORAN","True"
"TRT151128K15","TP.TRT151128K15.ORAN","True"
"TRT081128T15","TP.TRT081128T15.ORAN","False"
"TRT081128T23","TP.TRT081128T23.ORAN","False"
"TRT081128A16","TP.TRT081128A16.ORAN","False"
"TRT081128K14","TP.TRT081128K14.ORAN","False"
"TRT011128K11","TP.TRT011128K11.ORAN","False"
"TRT181028K13","TP.TRT181028K13.ORAN","False"
"TRT181028K39","TP.TRT181028K39.ORAN","True"
"TRT111028K10","TP.TRT111028K10.ORAN","False"
"TRT041028K19","TP.TRT041028K19.ORAN","False"
"TRT041028K27","TP.TRT041028K27.ORAN","False"
"TRT130928A13","TP.TRT130928A13.ORAN","False"
"TRT130928K11","TP.TRT130928K11.ORAN","False"
"TRT130928T12","TP.TRT130928T12.ORAN","True"
"TRT130928T20","TP.TRT130928T20.ORAN","False"
"TRT130928K37","TP.TRT130928K37.ORAN","True"
"TRT130928K45","TP.TRT130928K45.ORAN","False"
"TRT130928K52","TP.TRT130928K52.ORAN","False"
"TRT060928T11","TP.TRT060928T11.ORAN","True"
"TRT060928T29","TP.TRT060928T29.ORAN","False"
"TRT060928A12","TP.TRT060928A12.ORAN","False"
"TRT060928K10","TP.TRT060928K10.ORAN","False"
"TRT060928K28","TP.TRT060928K28.ORAN","False"
"TRT060928K36","TP.TRT060928K36.ORAN","False"
"TRT190728T18","TP.TRT190728T18.ORAN","False"
"TRT190728T26","TP.TRT190728T26.ORAN","True"
"TRT190728A19","TP.TRT190728A19.ORAN","True"
"TRT190728K25","TP.TRT190728K25.ORAN","False"
"TRT190728K41","TP.TRT190728K41.ORAN","False"
"TRT120728K14","TP.TRT120728K14.ORAN","False"
"TRT050728K13","TP.TRT050728K13.ORAN","False"
"TRT140628K21","TP.TRT140628K21.ORAN","False"
"TRT070628K12","TP.TRT070628K12.ORAN","False"
"TRT070628K20","TP.TRT070628K20.ORAN","False"
"TRT070628K38","TP.TRT070628K38.ORAN","False"
